To,Location
Clock,PIN_R8
Reset,PIN_J15
SW1[0],PIN_A5
SW1[1],PIN_D5
SW1[2],PIN_B6
SW1[3],PIN_A6
SW1[4],PIN_B7
SW1[5],PIN_D6
SW1[6],PIN_A7
SW1[7],PIN_C6
SW2[0],PIN_D3
SW2[1],PIN_C3
SW2[2],PIN_A2
SW2[3],PIN_A3
SW2[4],PIN_B3
SW2[5],PIN_B4
SW2[6],PIN_A4
SW2[7],PIN_B5
LED_Red[0],PIN_D9
LED_Red[1],PIN_C9
LED_Red[2],PIN_E9
LED_Red[3],PIN_F9
LED_Red[4],PIN_F8
LED_Red[5],PIN_E8
LED_Red[6],PIN_D8
LED_Red[7],PIN_E7
LED_Blue[0],PIN_B12
LED_Blue[1],PIN_D12
LED_Blue[2],PIN_D11
LED_Blue[3],PIN_A12
LED_Blue[4],PIN_B11
LED_Blue[5],PIN_C11
LED_Blue[6],PIN_E10
LED_Blue[7],PIN_E11
LED20[0],PIN_T13
LED20[1],PIN_T15
LED20[2],PIN_R12
LED20[3],PIN_T12
LED20[4],PIN_T14
LED20[5],PIN_R13
LED20[6],PIN_F13
LED20[7],PIN_T11
LED19[0],PIN_R10
LED19[1],PIN_R11
LED19[2],PIN_N9
LED19[3],PIN_P9
LED19[4],PIN_P11
LED19[5],PIN_N12
LED19[6],PIN_T10
LED19[7],PIN_N11
LED18[0],PIN_P16
LED18[1],PIN_L15
LED18[2],PIN_N15
LED18[3],PIN_N16
LED18[4],PIN_P15
LED18[5],PIN_R14
LED18[6],PIN_R16
LED18[7],PIN_P14
LED17[0],PIN_L13
LED17[1],PIN_N14
LED17[2],PIN_J13
LED17[3],PIN_K15
LED17[4],PIN_M10
LED17[5],PIN_J16
LED17[6],PIN_L14
LED17[7],PIN_J14
